fp,gp,y0p,fc,gc,y0c
0.31390382463772909,-2.6593116597695143e-11,0,0.31402915978131812,-2.6593116597695143e-11,-8.1055448470276204e-06
-8.9468363273503826e-16,-2.6850577317105717e-11,0,-8.9468363273503826e-16,-2.6850577317105717e-11,-8.3331025039562267e-06
-4,-2.7122026846626568e-11,0,-4.0017162050774395,-2.7122026846626568e-11,-8.5631849310489552e-06
-0.0002901309465132412,-2.738737014951198e-11,0,-0.00029023635129643582,-2.738737014951198e-11,-8.7865627067524167e-06
0.31526231568324575,-2.7630897569963508e-11,0,0.31539067109807045,-2.7630897569963508e-11,-8.9942962963750244e-06
5.7050718316187243e-16,-2.7843449768027995e-11,0,5.7050718316187243e-16,-2.7843449768027995e-11,-9.1811655292482324e-06
-4,-2.802019727354832e-11,0,-4.0017508554700569,-2.802019727354832e-11,-9.3440510970647684e-06
-0.00029485994243154379,-2.8159974352348627e-11,0,-0.00029496970130780752,-2.8159974352348627e-11,-9.4818479261250517e-06
0.3169659737598276,-2.8264446338965854e-11,0,0.31709779790889725,-2.8264446338965854e-11,-9.5954093848651449e-06
-3.1094918306884267e-16,-2.8337582280713036e-11,0,-3.1094918306884267e-16,-2.8337582280713036e-11,-9.6872638707618875e-06
-4,-2.8384461447927833e-11,0,-4.0017854263435559,-2.8384461447927833e-11,-9.7606065713456703e-06
-0.00030062533911913962,-2.8410301888825984e-11,0,-0.00030073995605169935,-2.8410301888825984e-11,-9.8185597609155097e-06
0.31901853921845663,-2.8419822051262145e-11,0,0.31915401432604701,-2.8419822051262145e-11,-9.8639444866197633e-06
5.4687157580168844e-16,-2.8417657116364126e-11,0,5.4687157580168844e-16,-2.8417657116364126e-11,-9.8992582163683834e-06
-4,-2.8407859398171809e-11,0,-4.0018161731078692,-2.8407859398171809e-11,-9.9269253074283312e-06
-0.00030747860218372441,-2.8395008566661772e-11,0,-0.00030759834993451975,-2.8395008566661772e-11,-9.9494881207204611e-06
0.32142454515005126,-2.8383767558537443e-11,0,0.32156356645089662,-2.8383767558537443e-11,-9.9697212345568396e-06
1.0577476394768581e-15,-2.837914625519744e-11,0,1.0577476394768581e-15,-2.837914625519744e-11,-9.9906298293489151e-06
-4,-2.8386126782464771e-11,0,-4.0018385528006739,-2.8386126782464771e-11,-1.0015253484469036e-05
-0.00031548153652974191,-2.8409344321467245e-11,0,-0.0003156063710282498,-2.8409344321467245e-11,-1.0046239108791247e-05
0.32418934239542702,-2.845217117464216e-11,0,0.32433144359598687,-2.845217117464216e-11,-1.0085426356735957e-05
2.8926513961913258e-16,-2.851668901016069e-11,0,2.8926513961913258e-16,-2.851668901016069e-11,-1.0133867349420411e-05
-4,-2.8603494572898569e-11,0,-4.0018467395285953,-2.8603494572898569e-11,-1.0191878392822855e-05
-0.0003247071617772391,-2.8711574784345828e-11,0,-0.00032483658149220265,-2.8711574784345828e-11,-1.0259168456587009e-05
0.32731912927324663,-2.8838931243058141e-11,0,0.32746336286225131,-2.8838931243058141e-11,-1.0334921330024018e-05
1.1557595158695477e-15,-2.8982413691203135e-11,0,1.1557595158695477e-15,-2.8982413691203135e-11,-1.0417910423505355e-05
-4,-2.9138455537314201e-11,0,-4.0018346748318123,-2.9138455537314201e-11,-1.050657719767862e-05
-0.00033524076107846668,-2.9303129367441727e-11,0,-0.00033537371733650294,-2.9303129367441727e-11,-1.0599112029226565e-05
0.3308209862937031,-2.9472486950954391e-11,0,0.33096588006876598,-2.9472486950954391e-11,-1.0693603801226615e-05
1.474514954580286e-16,-2.9642947818597776e-11,0,1.474514954580286e-16,-2.9642947818597776e-11,-1.0788190399518023e-05
-4,-2.9811313140282181e-11,0,-4.0017957304257141,-2.9811313140282181e-11,-1.0881215627143527e-05
-0.00034718112298161188,-2.9974953075218025e-11,0,-0.00034731587826924293,-2.9974953075218025e-11,-1.0971302278516989e-05
0.33470291617727554,-3.0131716566295097e-11,0,0.33484639416973033,-3.0131716566295097e-11,-1.1057358148381001e-05
1.2238474123016374e-15,-3.0279986851233787e-11,0,1.2238474123016374e-15,-3.0279986851233787e-11,-1.113855689182689e-05
-4,-3.041854962360091e-11,0,-4.0017212992579445,-3.041854962360091e-11,-1.1214305318129169e-05
-0.00036064200202106332,-3.0546586093915806e-11,0,-0.00036077583190097928,-3.0546586093915806e-11,-1.128420639022881e-05
0.33897388954962843,-3.0663579314582634e-11,0,0.33911306656108942,-3.0663579314582634e-11,-1.1348020873093104e-05
-3.3089850304257595e-15,-3.0769258668739141e-11,0,-3.3089850304257595e-15,-3.0769258668739141e-11,-1.1405635962632843e-05
-4,-3.0863568645234096e-11,0,-4.001602412532657,-3.0863568645234096e-11,-1.1457033890055559e-05
-0.00037575383267577137,-3.0946571694112635e-11,0,-0.0003758828006036099,-3.0946571694112635e-11,-1.1502267038737446e-05
